"V1","V2","V3","V4","V5","V6","V7","V8"
0.0720254014956942,0.0485319283137467,0.0225143344074898,0.114587802903846,0.193333058953136,0.0187791317123113,0.0410066455102032,0.03507626735263
0.0452007991770397,0.267925144668959,0.0228690991243875,0.0145500536104683,0.0340358070178737,0.0271001527152139,0.00325948122545399,0.00174595118015967
0.0102732632707051,0.175054198181947,0.26837701978481,0.0603404647812459,0.0300298125506042,0.00710306193720473,0.0499191744163527,0.0082576053377362
0.101932426123161,0.000318774267418317,0.0913320179319376,0.342803377718506,2.15965680560847e-06,0.000153653222241511,0.0518658703858388,0.0654903638721059
0.0510057095171852,0.079296019900667,0.0824593025518582,0.170480123354132,0.00250219325494655,0.000153083557241368,0.052737481044952,0.12327829583576
0.0599042199228499,0.171205292070749,0.136482475909611,0.00778216839250182,0.230236305277823,0.010878280480336,0.00101030361661964,0.0200002462480583
0.23269267217253,0.181065057910431,0.223466322297423,0.0484257575133138,0.107387361260812,0.00127034140922466,0.14748287609598,0.0838360456598125
0.147942577731861,0.0291804291577752,0.027955136465248,0.00165936520633686,0.213896477167889,0.000264674343590111,0.0443417540413004,0.0550792463925804
0.0355397204454477,0.0367038543067601,0.0848515602747905,0.0665948025386986,0.0524046950672038,0.0144894600942757,0.185872366890045,0.0238786318844061
0.291028249530425,0.270260645184794,0.00830819279041231,0.150859262179224,0.0246287036129018,0.0117671179772571,0.0600706497747361,0.000885897125843878
0.358512016262344,0.049858398090576,0.0528058509208918,0.00382177925219307,0.00306275921346151,0.043482203929873,0.0145277731205327,0.0039446943994088
0.0379571073112468,0.0802665129885192,0.470384412355515,0.38328007160226,0.275507065441837,0.0583376031661729,0.301319151533737,0.087295584449911
0.229832102882851,0.231318290583079,0.0212451497604477,0.184176839073271,0.0354845186895314,0.513010001729106,0.0449070583836821,0.205142387462693
0.001000259341073,0.025440685795248,0.403199929179212,0.201327999208681,0.0347928637269676,0.436669964550494,0.0169959270279083,0.224177538868326
0.551928837219714,0.189237624925634,0.148810767526044,0.0916374304452328,0.158147705842082,0.510293829162522,0.0263446009327339,0.143637968193492
